Principio Attivo	Descrizione Gruppo Equivalenza	Denominazione e Confezione	Prezzo al pubblico �	Titolare AIC	"Codice 
AIC"	Codice Gruppo Equivalenza	X=in lista di trasparenza Aifa 15/12/2020	Solo in lista di Regione:	Metri cubi ossigeno 
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ACICLOVIR*orale sosp 100 ml 8%	13,90	ABC FARMACEUTICI SpA	33482023	26A	X		
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ACICLOVIR*orale sosp 100 ml 8% flacone	13,90	ACCORD HEALTHCARE SLU	31846025	26A	X		
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ACICLOVIR*orale sosp 100 ml 8% flacone	13,90	ALMUS Srl	33868023	26A	X		
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ACICLOVIR*orale sosp 100 ml 8% flacone	13,90	AUROBINDO PHARMA ITALIA Srl	36035032	26A	X		
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ACICLOVIR*orale sosp 100 ml 8% flacone	13,90	DOC GENERICI Srl	33551060	26A	X		
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ACICLOVIR*orale sosp 100 ml 8% flacone	13,90	EG SpA	32307035	26A	X		
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ACICLOVIR*orale sosp 100 ml 8% flacone	13,90	MYLAN SpA	34738056	26A	X		
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ACICLOVIR*orale sosp 100 ml 8% flacone	13,90	SANDOZ SpA	33731035	26A	X		
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ACICLOVIR*orale sosp 100 ml 8% flacone	13,90	TEVA ITALIA Srl	28467049	26A	X		
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	NEVIRAN*orale sosp 100 ml 8% flacone	13,90	S.F. GROUP Srl	28425039	26A	X		
Aciclovir	ACICLOVIR 8% 100ML USO ORALE	ZOVIRAX*FORTE orale sosp 100 ml 8% flacone	21,23	GLAXOSMITHKLINE SpA	25298086	26A	X		
Aciclovir	ACICLOVIR 200MG 25 UNITA' USO ORALE	ACICLOVIR*25 cpr 200 mg	11,29	AUROBINDO PHARMA ITALIA Srl	46032013	26B	X		
Aciclovir	ACICLOVIR 200MG 25 UNITA' USO ORALE	ACICLOVIR*25 cpr 200 mg	11,29	EG SpA	32307011	26B	X		
Aciclovir	ACICLOVIR 200MG 25 UNITA' USO ORALE	ZOVIRAX*25 cpr 200 mg	18,08	GLAXOSMITHKLINE SpA	25298050	26B	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	ACICLIN*25 cpr 400 mg	9,01	FIDIA FARMACEUTICI SpA	28614055	26C	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	ACICLOVIR*25 cpr 400 mg	9,01	AUROBINDO PHARMA ITALIA Srl	46032049	26C	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	ACICLOVIR*25 cpr 400 mg	9,01	DOC GENERICI Srl	33551021	26C	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	ACICLOVIR*25 cpr 400 mg	9,01	EG SpA	32307023	26C	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	ACICLOVIR*25 cpr 400 mg	9,01	MYLAN SpA	34738031	26C	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	ACICLOVIR*25 cpr 400 mg	9,01	SANDOZ SpA	33731011	26C	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	ACICLOVIR*25 cpr 400 mg	9,01	SUN PHARMACEUTICAL IND.EU.B.V.	32927030	26C	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	ACICLOVIR*25 cpr 400 mg	9,01	TEVA ITALIA Srl	28467037	26C	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	CIVRAL*25 cpr 400 mg	9,01	PHARMABER Srl	28920039	26C	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	SINAFID*25 cpr 400 mg	9,01	FIDIA FARMACEUTICI SpA	37290018	26C	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	CYCLOVIRAN*25 cpr 400 mg	11,01	ALFASIGMA SpA	25299076	26C	X		
Aciclovir	ACICLOVIR 400MG 25 UNITA' USO ORALE	ZOVIRAX*25 cpr 400 mg	15,18	GLAXOSMITHKLINE SpA	25298074	26C	X		
Aciclovir	ACICLOVIR 800MG 25 UNITA' USO ORALE	NEVIRAN*25 cpr 800 mg	36,41	S.F. GROUP Srl	28425066	26D	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLIN*35 cpr 800 mg	25,04	FIDIA FARMACEUTICI SpA	28614081	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR GIT*35 cpr 800 mg	25,04	S.F. GROUP Srl	33429046	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	ABC FARMACEUTICI SpA	33482047	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	ACCORD HEALTHCARE SLU	31846049	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	ALMUS Srl	33868011	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	AUROBINDO PHARMA ITALIA Srl	35853011	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	AUROBINDO PHARMA ITALIA Srl	36035018	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	AUROBINDO PHARMA ITALIA Srl	46032052	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	DOC GENERICI Srl	33551072	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	EG SpA	32307086	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	LABORATORI ALTER Srl	36110017	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	MYLAN SpA	34738043	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	PENSA PHARMA SpA	34583031	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	SANDOZ SpA	33731050	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	SUN PHARMACEUTICAL IND.EU.B.V.	32927055	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ACICLOVIR*35 cpr 800 mg	25,04	TEVA ITALIA Srl	28467064	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	AMODIVYR*35 cpr 800 mg	25,04	DYMALIFE PHARMACEUTICAL Srl	33471018	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	NEVIRAN*35 cpr 800 mg	25,04	S.F. GROUP Srl	28425078	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	TUCLOR*35 cpr 800 mg	25,04	LANOVA FARMACEUTICI Srl	35005014	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	CYCLOVIRAN*35 cpr 800 mg	29,04	ALFASIGMA SpA	25299126	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	CITIVIR*35 cpr 800 mg	31,59	C.T. LAB.FARMACEUTICO Srl	28528077	26E	X		
Aciclovir	ACICLOVIR 800MG 35 UNITA' USO ORALE	ZOVIRAX*35 cpr 800 mg	52,01	GLAXOSMITHKLINE SpA	25298124	26E	X		
Aciclovir	ACICLOVIR 3% 4,5G UNGUENTO USO OFTALMICO	CYCLOVIRAN*ung oftalm 4,5 g 3%	6,70	ALFASIGMA SpA	25299049	26F	X		
Aciclovir	ACICLOVIR 3% 4,5G UNGUENTO USO OFTALMICO	ZOVIRAX OFTALMICO*ung oftalm 4,5 g 3%	7,36	GLAXOSMITHKLINE SpA	25298047	26F	X		
Aciclovir	ACICLOVIR 250MG 5 UNITA' USO PARENTERALE	ACICLOVIR*5 fiale EV 250 mg	80,54	RECORDATI SpA	33672027	26I	X		
Acido acetilsalicilico	ACIDO ACETILSALICILICO 75MG 30 UNITA' USO ORALE	CARDIRENE*30 bust polv orale 75 mg	2,32	SANOFI SpA	28717041	H4A			
Acido acetilsalicilico	ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE	ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg	1,41	ARISTO PHARMA GMBH	46280018	H4B	X		
Acido acetilsalicilico	ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE	ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg	1,41	DOC GENERICI Srl	42179010	H4B	X		
Acido acetilsalicilico	ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE	ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg	1,41	EG SpA	42180048	H4B	X		
Acido acetilsalicilico	ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE	ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg	1,41	KRKA D.D.NOVO MESTO	44822029	H4B	X		
Acido acetilsalicilico	ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE	ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg	1,41	MYLAN SpA	47065014	H4B	X		
Acido acetilsalicilico	ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE	ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg	1,41	SANDOZ SpA	42200016	H4B	X		
Acido acetilsalicilico	ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE	ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg	1,41	TEVA ITALIA Srl	42207011	H4B	X		
Acido acetilsalicilico	ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE	CARDIOASPIRIN*30 cpr gastrores 100 mg	2,35	BAYER SpA	24840074	H4B	X		
Acido acetilsalicilico	ACIDO ACETILSALICILICO 160MG 30 UNITA' USO ORALE	CARDIRENE*30 bust polv orale 160 mg	3,00	SANOFI SpA	28717015	H4C			
Acido acetilsalicilico	ACIDO ACETILSALICILICO 300MG 30 UNITA' USO ORALE	CARDIRENE*30 bust polv orale 300 mg	3,00	SANOFI SpA	28717027	H4D			
Acido acetilsalicilico	ACIDO ACETILSALICILICO 1.000MG 6 UNITA' USO PARENTERALE	FLECTADOL*6 fiale IM EV 1 g + 6 fiale solv 5 ml	10,97	SANOFI SpA	22620191	H4E			
Acido acetilsalicilico	ACIDO ACETILSALICILICO 100MG 30 UNITA' POLVERE USO ORALE	CARDIRENE*orale polv 30 bust 100 mg	2,40	SANOFI SpA	28717039	H4F			
Acido acetilsalicilico/magnesio idrossido/algeldrato	ACIDO ACETILSALICILICO+MAGNESIO IDROSSIDO+ALGELDRATO 300MG 20 UNITA' USO ORALE	ASCRIPTIN*20 cpr div 300 mg + 80 mg + 70 mg	2,32	SANOFI SpA	23075029	H5A			
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ACIDO ALENDRONICO*4 cpr 70 mg	13,48	AUROBINDO PHARMA ITALIA Srl	41256227	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ACIDO ALENDRONICO*4 cpr 70 mg	13,48	FG Srl	37515018	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ACIDO ALENDRONICO*4 cpr 70 mg	13,48	ZENTIVA ITALIA Srl	37514015	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ACIDO ALENDRONICO*4 cpr riv 70 mg	13,48	GERMED PHARMA Srl	37443013	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ACIDO ALENDRONICO*4 cpr riv 70 mg	13,48	LABORATORI ALTER Srl	41538024	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ACIDO ALENDRONICO*4 cpr riv 70 mg	13,48	TECNIGEN Srl	43119015	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ALENDRONATO*4 cpr 70 mg	13,48	DOC GENERICI Srl	37520018	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ALENDRONATO*4 cpr 70 mg	13,48	EG SpA	37194089	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ALENDRONATO*4 cpr 70 mg	13,48	MYLAN SpA	37198013	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ALENDRONATO*4 cpr 70 mg	13,48	PENSA PHARMA SpA	38007100	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ALENDRONATO*4 cpr 70 mg	13,48	RATIOPHARM GMBH	37085089	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ALENDRONATO*4 cpr 70 mg	13,48	SUN PHARMACEUTICAL IND.EU.B.V.	38006108	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ALENDRONATO*4 cpr 70 mg	13,48	TEVA B.V.	38317020	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ALENDRONATO*4 cpr riv 70 mg	13,48	ALMUS Srl	37499011	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ALENDRONATO*4 cpr riv 70 mg	13,48	SANDOZ GMBH	38408023	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ALENIC*4 cpr 70 mg	13,48	EPIFARMA Srl	37521010	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ASTON*4 cpr riv 70 mg	13,48	S.F. GROUP Srl	37444015	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	DORYX*4 cpr 70 mg	13,48	S.F. GROUP Srl	37644010	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	GLAMOR*4 cpr riv 70 mg	13,48	AGIPS FARMACEUTICI Srl	37500016	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	LOSS*4 cpr riv 70 mg	13,48	SO.SE.PHARM Srl	38296012	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	NEADRALE*4 cpr 70 mg	13,48	GENETIC SpA	38649012	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	NOFRATTIL*4 cpr riv 70 mg	13,48	S.F. GROUP Srl	38297014	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	REALEN*4 cpr riv 70 mg	13,48	IST.CHIM.INTERNAZ. RENDE Srl	37461011	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	PORODRON*4 cpr 70 mg	13,49	DYMALIFE PHARMACEUTICAL Srl	37519016	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ALENDROS*4 cpr 70 mg	15,37	ABIOGEN PHARMA SpA	29051075	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	ADRONAT*4 cpr 70 mg	16,48	NEOPHARMED GENTILI SpA	29053079	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	GENALEN*4 cpr 70 mg	17,98	NEOPHARMED GENTILI SpA	34172054	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE	FOSAMAX*4 cpr 70 mg	20,07	MSD ITALIA Srl	29052077	CQA	X		
Acido alendronico	ACIDO ALENDRONICO 10MG 14 UNITA' USO ORALE	ADRONAT*14 cpr 10 mg	17,22	NEOPHARMED GENTILI SpA	29053030	CQB			
Acido alendronico	ACIDO ALENDRONICO 10MG 14 UNITA' USO ORALE	GENALEN*14 cpr 10 mg	17,22	NEOPHARMED GENTILI SpA	34172015	CQB			
Acido alendronico	ACIDO ALENDRONICO 70MG 100ML 4 UNITA' USO ORALE	BONASOL*orale soluz 4 flaconi 70 mg 100 ml	16,18	BRUNO FARMACEUTICI SpA	40622033	CQC			
Acido alendronico	ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE	ACIDO ALENDRONICO*12 cpr 70 mg	25,20	AUROBINDO PHARMA ITALIA Srl	41256241	CQD	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE	ACIDO ALENDRONICO*12 cpr 70 mg	25,20	FG Srl	37515020	CQD	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE	ALENDRONATO*12 cpr 70 mg	25,20	DOC GENERICI Srl	37520020	CQD	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE	ALENDRONATO*12 cpr 70 mg	25,20	EG SpA	37194103	CQD	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE	ALENDRONATO*12 cpr 70 mg	25,20	TEVA B.V.	38317044	CQD	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE	ALENDRONATO*12 cpr riv 70 mg	25,20	SANDOZ SpA	38408047	CQD	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE	ASTON*12 cpr riv 70 mg	25,20	S.F. GROUP Srl	37444027	CQD	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE	PORODRON*12 cpr 70 mg	28,07	DYMALIFE PHARMACEUTICAL Srl	37519028	CQD	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE	DRALENOS*12 cpr 70 mg	28,20	I.B.N. SAVIO Srl	38031163	CQD	X		
Acido alendronico	ACIDO ALENDRONICO 70MG 4 UNITA' EFFERVESCENTI USO ORALE	BINOSTO*4 cpr eff 70 mg	16,18	ABIOGEN PHARMA SpA	40246011	JBX			
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE	ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI	11,23	AUROBINDO PHARMA ITALIA Srl	44670014	H6A	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE	ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI	11,23	EG SpA	44731014	H6A	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE	ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI	11,23	ZENTIVA ITALIA Srl	44520029	H6A	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE	ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI	11,23	ARISTO PHARMA GMBH	44579011	H6A	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE	ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI	11,23	DOC GENERICI Srl	45284015	H6A	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE	ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI	11,23	MYLAN SpA	44986014	H6A	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE	ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI confezione calendario	11,23	TEVA ITALIA Srl	44405037	H6A	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE	ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2800 UI	11,23	ACCORD HEALTHCARE SLU	46006019	H6A	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE	VANTAVO*4 cpr 70 mg + 2.800 UI	17,90	MERCK SHARP & DOHME BV	39641028	H6A	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE	FOSAVANCE*4 cpr 70 mg + 2.800 UI	18,14	MERCK SHARP & DOHME BV	36845028	H6A	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE	ADROVANCE*4 cpr 70 mg + 2.800 UI	18,65	MERCK SHARP & DOHME BV	37603026	H6A	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE	ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI	13,60	AUROBINDO PHARMA ITALIA Srl	44670026	H6B	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE	ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI	13,60	EG SpA	44731038	H6B	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE	ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI	13,60	ZENTIVA ITALIA Srl	44520056	H6B	X		
Acido alendronico/colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE	ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI	13,60	ARISTO PHARMA GMBH	44579035	H6B	X		
Acido alendronico/Colecalciferolo	ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE	ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI	13,60	DOC GENERICI Srl	45284027	H6B	X		
